,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_f1_macro,mean_test_precision_macro,mean_test_recall_macro,mean_test_roc_auc,mean_train_accuracy,mean_train_f1_macro,mean_train_precision_macro,mean_train_recall_macro,mean_train_roc_auc,param_clf__alpha,param_tfidf__norm,param_tfidf__use_idf,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,rank_test_accuracy,rank_test_f1_macro,rank_test_precision_macro,rank_test_recall_macro,rank_test_roc_auc,split0_test_accuracy,split0_test_f1_macro,split0_test_precision_macro,split0_test_recall_macro,split0_test_roc_auc,split0_train_accuracy,split0_train_f1_macro,split0_train_precision_macro,split0_train_recall_macro,split0_train_roc_auc,split1_test_accuracy,split1_test_f1_macro,split1_test_precision_macro,split1_test_recall_macro,split1_test_roc_auc,split1_train_accuracy,split1_train_f1_macro,split1_train_precision_macro,split1_train_recall_macro,split1_train_roc_auc,split2_test_accuracy,split2_test_f1_macro,split2_test_precision_macro,split2_test_recall_macro,split2_test_roc_auc,split2_train_accuracy,split2_train_f1_macro,split2_train_precision_macro,split2_train_recall_macro,split2_train_roc_auc,std_fit_time,std_score_time,std_test_accuracy,std_test_f1_macro,std_test_precision_macro,std_test_recall_macro,std_test_roc_auc,std_train_accuracy,std_train_f1_macro,std_train_precision_macro,std_train_recall_macro,std_train_roc_auc
0,0.11022790273030598,0.1905330022176107,0.84,0.8382188553185567,0.8538687102371313,0.84,0.894485294117647,0.964795008912656,0.9647405062070863,0.9662620603797075,0.964795008912656,0.9926538108356291,1,l1,True,0.5,,"(1, 1)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 1), 'vect__max_features': None, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.5}",343,344,494,343,573,0.7647058823529411,0.7614035087719297,0.7802197802197802,0.7647058823529411,0.7820069204152249,0.9242424242424242,0.9240855762594893,0.9277777777777778,0.9242424242424243,0.9807162534435262,0.8529411764705882,0.8517872711421098,0.8642857142857143,0.8529411764705882,0.9480968858131488,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,0.997245179063361,0.90625,0.9054187192118226,0.9210526315789473,0.90625,0.95703125,0.9852941176470589,0.9852909366212416,0.9857142857142858,0.9852941176470589,1.0,0.03135708615458352,0.10026580745707703,0.05821486569799244,0.059277826656860905,0.05766704592965449,0.05821486569799244,0.08081174789701476,0.028675584733649048,0.02874795309085049,0.027213037816949306,0.028675584733648993,0.008515719463265112
1,0.3102567195892334,0.35000284512837726,0.86,0.8576252833675702,0.8818255866940078,0.86,0.9172794117647058,0.9698455139631611,0.9697688164247373,0.9723181164357636,0.9698455139631611,0.9969390878481788,1,l1,True,0.5,,"(1, 2)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 2), 'vect__max_features': None, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.5}",296,306,310,296,541,0.7941176470588235,0.7895667550839964,0.821969696969697,0.7941176470588236,0.8269896193771626,0.9393939393939394,0.9391705069124423,0.9459459459459459,0.9393939393939394,0.9908172635445363,0.8823529411764706,0.8807017543859649,0.9047619047619048,0.8823529411764706,0.9480968858131488,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,1.0,0.90625,0.9054187192118226,0.9210526315789473,0.90625,0.98046875,0.9852941176470589,0.9852909366212416,0.9857142857142858,0.9852941176470589,1.0,0.08878719138934069,0.18729594713077208,0.048271596812447914,0.04986856234787377,0.043467186374756536,0.04827159681244786,0.06612407365547533,0.02153328342290046,0.02163703803427889,0.018648729493081353,0.02153328342290046,0.004328783478338225
2,0.10530662536621094,0.20753741264343262,0.84,0.8385904282765736,0.8490408071460703,0.84,0.8921323529411765,0.964795008912656,0.9647405062070863,0.9662620603797075,0.964795008912656,0.9926538108356291,1,l1,True,0.5,5000,"(1, 1)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 1), 'vect__max_features': 5000, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.5}",343,343,513,343,575,0.7647058823529411,0.7614035087719297,0.7802197802197802,0.7647058823529411,0.7820069204152249,0.9242424242424242,0.9240855762594893,0.9277777777777778,0.9242424242424243,0.9807162534435262,0.8235294117647058,0.8229166666666666,0.8280701754385965,0.8235294117647058,0.9411764705882353,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,0.997245179063361,0.9375,0.9372549019607843,0.9444444444444444,0.9375,0.95703125,0.9852941176470589,0.9852909366212416,0.9857142857142858,0.9852941176470589,1.0,0.025993907047448358,0.09317974532884862,0.0711460800457928,0.07227920015518524,0.0683554509252846,0.0711460800457928,0.07930318879249915,0.028675584733649048,0.02874795309085049,0.027213037816949306,0.028675584733648993,0.008515719463265112
3,0.30590017636617023,0.3473339080810547,0.87,0.8678177760936382,0.887469696969697,0.87,0.9546323529411765,0.9698455139631611,0.9697688164247373,0.9723181164357636,0.9698455139631611,0.9990817263544537,1,l1,True,0.5,5000,"(1, 2)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 2), 'vect__max_features': 5000, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.5}",267,271,293,267,432,0.7941176470588235,0.7895667550839964,0.821969696969697,0.7941176470588236,0.9307958477508651,0.9393939393939394,0.9391705069124423,0.9459459459459459,0.9393939393939394,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9688581314878892,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,0.997245179063361,0.875,0.873015873015873,0.9,0.875,0.96484375,0.9852941176470589,0.9852909366212416,0.9857142857142858,0.9852941176470589,1.0,0.12038144600367812,0.16953227212668112,0.06073084302162822,0.06261191089319325,0.04989618902425698,0.06073084302162817,0.017185890673689693,0.02153328342290046,0.02163703803427889,0.018648729493081353,0.02153328342290046,0.0012986350435014256
4,0.11733571688334148,0.22528767585754395,0.84,0.8382188553185567,0.8538687102371313,0.84,0.8920588235294118,0.964795008912656,0.9647405062070863,0.9662620603797075,0.964795008912656,0.9926538108356291,1,l1,True,0.5,10000,"(1, 1)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 1), 'vect__max_features': 10000, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.5}",343,344,494,343,576,0.7647058823529411,0.7614035087719297,0.7802197802197802,0.7647058823529411,0.7820069204152249,0.9242424242424242,0.9240855762594893,0.9277777777777778,0.9242424242424243,0.9807162534435262,0.8529411764705882,0.8517872711421098,0.8642857142857143,0.8529411764705882,0.944636678200692,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,0.997245179063361,0.90625,0.9054187192118226,0.9210526315789473,0.90625,0.953125,0.9852941176470589,0.9852909366212416,0.9857142857142858,0.9852941176470589,1.0,0.029730314062664312,0.1535352341091377,0.05821486569799244,0.059277826656860905,0.05766704592965449,0.05821486569799244,0.0790638645165918,0.028675584733649048,0.02874795309085049,0.027213037816949306,0.028675584733648993,0.008515719463265112
5,0.3099864323933919,0.3809365431467692,0.86,0.8580477979874531,0.8760311004784689,0.86,0.9381617647058823,0.9698455139631611,0.9697688164247373,0.9723181164357636,0.9698455139631611,0.9978573614937251,1,l1,True,0.5,10000,"(1, 2)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 2), 'vect__max_features': 10000, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.5}",296,296,334,296,488,0.7941176470588235,0.7895667550839964,0.821969696969697,0.7941176470588236,0.8961937716262975,0.9393939393939394,0.9391705069124423,0.9459459459459459,0.9393939393939394,0.9963269054178145,0.8823529411764706,0.8819444444444444,0.887719298245614,0.8823529411764706,0.9550173010380623,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,0.997245179063361,0.90625,0.9054187192118226,0.9210526315789473,0.90625,0.96484375,0.9852941176470589,0.9852909366212416,0.9857142857142858,0.9852941176470589,1.0,0.12307596371214205,0.19048147694423664,0.048271596812447914,0.05006715829282312,0.04109458615939528,0.04827159681244786,0.0303852002615477,0.02153328342290046,0.02163703803427889,0.018648729493081353,0.02153328342290046,0.001560765079152957
6,0.1164865493774414,0.21973490715026855,0.84,0.8382188553185567,0.8538687102371313,0.84,0.894485294117647,0.964795008912656,0.9647405062070863,0.9662620603797075,0.964795008912656,0.9926538108356291,1,l1,True,0.5,50000,"(1, 1)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 1), 'vect__max_features': 50000, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.5}",343,344,494,343,573,0.7647058823529411,0.7614035087719297,0.7802197802197802,0.7647058823529411,0.7820069204152249,0.9242424242424242,0.9240855762594893,0.9277777777777778,0.9242424242424243,0.9807162534435262,0.8529411764705882,0.8517872711421098,0.8642857142857143,0.8529411764705882,0.9480968858131488,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,0.997245179063361,0.90625,0.9054187192118226,0.9210526315789473,0.90625,0.95703125,0.9852941176470589,0.9852909366212416,0.9857142857142858,0.9852941176470589,1.0,0.02864596874541947,0.08654474181201692,0.05821486569799244,0.059277826656860905,0.05766704592965449,0.05821486569799244,0.08081174789701476,0.028675584733649048,0.02874795309085049,0.027213037816949306,0.028675584733648993,0.008515719463265112
7,0.33316612243652344,0.4079422950744629,0.86,0.8576252833675702,0.8818255866940078,0.86,0.9172794117647058,0.9698455139631611,0.9697688164247373,0.9723181164357636,0.9698455139631611,0.9969390878481788,1,l1,True,0.5,50000,"(1, 2)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 2), 'vect__max_features': 50000, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.5}",296,306,310,296,541,0.7941176470588235,0.7895667550839964,0.821969696969697,0.7941176470588236,0.8269896193771626,0.9393939393939394,0.9391705069124423,0.9459459459459459,0.9393939393939394,0.9908172635445363,0.8823529411764706,0.8807017543859649,0.9047619047619048,0.8823529411764706,0.9480968858131488,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,1.0,0.90625,0.9054187192118226,0.9210526315789473,0.90625,0.98046875,0.9852941176470589,0.9852909366212416,0.9857142857142858,0.9852941176470589,1.0,0.11099055940185487,0.2529457357286892,0.048271596812447914,0.04986856234787377,0.043467186374756536,0.04827159681244786,0.06612407365547533,0.02153328342290046,0.02163703803427889,0.018648729493081353,0.02153328342290046,0.004328783478338225
8,0.10535335540771484,0.20739189783732095,0.84,0.8367125594711802,0.8688333333333333,0.84,0.9123529411764706,0.9598930481283423,0.959875275867923,0.9610149110149111,0.9598930481283423,0.9905289129101648,1,l1,True,0.75,,"(1, 1)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 1), 'vect__max_features': None, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.75}",343,347,381,343,546,0.7941176470588235,0.7895667550839964,0.821969696969697,0.7941176470588236,0.7958477508650519,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9825528007346189,0.8529411764705882,0.8496905393457117,0.8863636363636364,0.8529411764705883,0.9757785467128027,0.9696969696969697,0.9696691176470589,0.9714285714285714,0.9696969696969697,0.98989898989899,0.875,0.873015873015873,0.9,0.875,0.96875,0.9705882352941176,0.9705627705627706,0.9722222222222222,0.9705882352941176,0.9991349480968857,0.03514567521649916,0.097709391077227,0.03412778753967128,0.03513873115214613,0.034088555474309376,0.034127787539671245,0.08366918042202508,0.014499624886408095,0.014487086472759944,0.015291768608671123,0.014499624886408095,0.006784271271894959
9,0.323419729868571,0.3719463348388672,0.84,0.8366400419685356,0.8689935064935065,0.84,0.9252205882352941,0.9649435531788474,0.9649153371991388,0.9661767215846911,0.9649435531788474,0.9960208142026324,1,l1,True,0.75,,"(1, 2)","{'tfidf__norm': 'l1', 'vect__ngram_range': (1, 2), 'vect__max_features': None, 'clf__alpha': 1, 'tfidf__use_idf': True, 'vect__max_df': 0.75}",343,350,365,343,526,0.7941176470588235,0.7895667550839964,0.821969696969697,0.7941176470588236,0.8546712802768166,0.9393939393939394,0.9393382352941176,0.9410138248847926,0.9393939393939394,0.9889807162534435,0.8823529411764706,0.8807017543859649,0.9047619047619048,0.8823529411764706,0.958477508650519,0.9848484848484849,0.9848450057405281,0.9852941176470589,0.9848484848484849,0.9990817263544537,0.84375,0.8398398398398398,0.8809523809523809,0.84375,0.96484375,0.9705882352941176,0.9705627705627706,0.9722222222222222,0.9705882352941176,1.0,0.13027566856932324,0.1879678708833866,0.03647118120960068,0.03763998128859033,0.03510803995072369,0.036471181209600634,0.05070202925395248,0.0189811442007882,0.019002397512122363,0.018575918824233956,0.0189811442007882,0.004992196642271238
