,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_f1_macro,mean_test_precision_macro,mean_test_recall_macro,mean_test_roc_auc,mean_train_accuracy,mean_train_f1_macro,mean_train_precision_macro,mean_train_recall_macro,mean_train_roc_auc,param_clf__C,param_clf__penalty,param_tfidf__norm,param_tfidf__use_idf,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,rank_test_accuracy,rank_test_f1_macro,rank_test_precision_macro,rank_test_recall_macro,rank_test_roc_auc,split0_test_accuracy,split0_test_f1_macro,split0_test_precision_macro,split0_test_recall_macro,split0_test_roc_auc,split0_train_accuracy,split0_train_f1_macro,split0_train_precision_macro,split0_train_recall_macro,split0_train_roc_auc,split1_test_accuracy,split1_test_f1_macro,split1_test_precision_macro,split1_test_recall_macro,split1_test_roc_auc,split1_train_accuracy,split1_train_f1_macro,split1_train_precision_macro,split1_train_recall_macro,split1_train_roc_auc,split2_test_accuracy,split2_test_f1_macro,split2_test_precision_macro,split2_test_recall_macro,split2_test_roc_auc,split2_train_accuracy,split2_train_f1_macro,split2_train_precision_macro,split2_train_recall_macro,split2_train_roc_auc,std_fit_time,std_score_time,std_test_accuracy,std_test_f1_macro,std_test_precision_macro,std_test_recall_macro,std_test_roc_auc,std_train_accuracy,std_train_f1_macro,std_train_precision_macro,std_train_recall_macro,std_train_roc_auc
10,0.1183779239654541,0.21791863441467285,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,0.75,5000,"(1, 1)","{'vect__max_df': 0.75, 'clf__C': 0.001, 'vect__max_features': 5000, 'vect__ngram_range': (1, 1), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.04349341193568102,0.09644889091302923,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.3398276170094808,0.45153093338012695,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,0.75,5000,"(1, 2)","{'vect__max_df': 0.75, 'clf__C': 0.001, 'vect__max_features': 5000, 'vect__ngram_range': (1, 2), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.11929010459845615,0.2617537443259115,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.12168637911478679,0.23613405227661133,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,0.75,10000,"(1, 1)","{'vect__max_df': 0.75, 'clf__C': 0.001, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.03944970031721092,0.1217299687637028,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.3782840569814046,0.47199217478434247,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,0.75,10000,"(1, 2)","{'vect__max_df': 0.75, 'clf__C': 0.001, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.10730572037236122,0.23178856493155292,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1148072878519694,0.23755788803100586,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,0.75,50000,"(1, 1)","{'vect__max_df': 0.75, 'clf__C': 0.001, 'vect__max_features': 50000, 'vect__ngram_range': (1, 1), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.03155141228184967,0.13644064147078036,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.35556284586588544,0.47234193483988446,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,0.75,50000,"(1, 2)","{'vect__max_df': 0.75, 'clf__C': 0.001, 'vect__max_features': 50000, 'vect__ngram_range': (1, 2), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.1211603440142448,0.27079817512349497,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.10463595390319824,0.24479222297668457,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,1.0,,"(1, 1)","{'vect__max_df': 1.0, 'clf__C': 0.001, 'vect__max_features': None, 'vect__ngram_range': (1, 1), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.020951777223385506,0.1315981696854705,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.343067725499471,0.43912140528361004,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,1.0,,"(1, 2)","{'vect__max_df': 1.0, 'clf__C': 0.001, 'vect__max_features': None, 'vect__ngram_range': (1, 2), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.10917113310665862,0.17549804308260397,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.11699954668680827,0.21994352340698242,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,1.0,5000,"(1, 1)","{'vect__max_df': 1.0, 'clf__C': 0.001, 'vect__max_features': 5000, 'vect__ngram_range': (1, 1), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.04338885707414775,0.10442771631020503,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.3630374272664388,0.46538527806599933,0.5,0.33333333333333326,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.001,l1,l1,True,1.0,5000,"(1, 2)","{'vect__max_df': 1.0, 'clf__C': 0.001, 'vect__max_features': 5000, 'vect__ngram_range': (1, 2), 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'clf__penalty': 'l1'}",985,992,992,985,990,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5,0.1096559509759017,0.2540383924321302,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
